Enseigne;Adresse;Nombre Points de charge;Puissance délivrée;Type de prise;Condition d'accès;Accessibilité;Coordonnees;Commune;Nom du d�partement;Nom de la r�gion;Commentaires;Nom de la borne
SREM2;"1 Rue de Murbach
70200 Lure";2;22.0;semi-rapide;gratuit;24/24 7/7 jours;47.672617,6.511561;Lure;HAUTE-SAONE;BOURGOGNE-FRANCHE-COMTE;;B6002
SREM2;Rue du mar?chal Leclerc - Gray;2;22.0;semi-rapide;gratuit;24/24 7/7 jours;47.26022,5.35317;Magny-Montarlot;COTE-D'OR;BOURGOGNE-FRANCHE-COMTE;;B6003
SREM2;"6 Rue des Fr?res Renaud
70290 Champagne";2;22.0;semi-rapide;gratuit;24/24 7/7 jours;47.70447,6.68407;Champagney;JURA;BOURGOGNE-FRANCHE-COMTE;;B6004
SREM2;"18 Place du 14 Juillet
70250 Ronchamp";2;22.0;semi-rapide;gratuit;24/24 7/7 jours;47.69877,6.630369;Ronchamp;HAUTE-SAONE;BOURGOGNE-FRANCHE-COMTE;;B6005
Révéo;Village Des Artisans  12300 LIVINHAC LE HAUT;2;22.0;semi-rapide;payant;24/24 7/7 jours;44.587418,2.232295;Livinhac-le-Haut;AVEYRON;OCCITANIE;;B6006
Révéo;Place De Terrail 12490 SAINT ROME DE TARN;2;22.0;semi-rapide;payant;24/24 7/7 jours;44.048966,2.897219;Saint-Rome-de-Tarn;AVEYRON;OCCITANIE;;B6007
Révéo;Place André Calvignac 12440 LA SALVETAT PEYRALES;2;22.0;semi-rapide;payant;24/24 7/7 jours;44.219077,2.202389;La Salvetat-Peyralès;AVEYRON;OCCITANIE;;B6008
Révéo;Parking Ruelles 12200 VILLEFRANCHE DE ROUERGUE;2;22.0;semi-rapide;payant;24/24 7/7 jours;44.351547,2.033853;Villefranche-de-Rouergue;AVEYRON;OCCITANIE;;B6009
